lake,SampleID,TopDepth,BotDepth,Type,Material,Measurement,MeasurementError,Age,AgeError,CalibratedAge,CalAgeStD,CalAgeLCI,CalAgeUCI,LabID,Conf,Used
UR15,UR15_sh_3_4,0.5,1,Pb210,bulk sediment,6.372882701,0.308047017,NA,NA,-53.60556149,5.083099861,-63.56843721,-43.64268576,Flett-77200,,Used
UR15,UR15_sh_5_6,1,1.5,Pb210,bulk sediment,4.963460288,0.263391517,NA,NA,-45.88187436,5.986271143,-57.6149658,-34.14878292,Flett-77201,,Used
UR15,UR15_sh_7_8,1.5,2,Pb210,bulk sediment,6.594877896,0.338181271,NA,NA,-38.9824905,7.047334915,-52.79526693,-25.16971406,Flett-77202,,Used
UR15,UR15_sh_9_10,2,2.5,Pb210,bulk sediment,6.27170824,0.304263106,NA,NA,-25.31661983,10.12075511,-45.15329984,-5.479939826,Flett-77203,,Used
UR15,UR15_sh_11_12,2.5,3,Pb210,bulk sediment,2.843540912,0.209891758,NA,NA,-3.180958626,19.31030732,-41.02916098,34.66724372,Flett-77204,,Used
UR15,UR15_sh_13_14,3,3.5,Pb210,bulk sediment,2.672040063,0.203229246,NA,NA,8.576276341,27.49430126,-45.31255414,62.46510682,Flett-77205,,Used
UR15,UR15_sh_15_16,3.5,4,Pb210,bulk sediment,1.314719354,0.155251606,NA,NA,30.31486457,53.32627484,-74.20463411,134.8343633,Flett-77206,,Used
UR15,UR15_sh_17_18,4,4.5,Pb210,bulk sediment,1.232022543,0.120245964,NA,NA,34.22747781,59.87773597,-83.13288468,151.5878403,Flett-77207,,Used
UR15,UR15_sh_25_28,6,7,Pb210,bulk sediment,1.33420138,0.153054733,NA,NA,51.54113538,100.9504942,-146.3218332,249.4041039,Flett-77210,,Used
UR15,UR15_sh_41_44,10,11,Pb210,bulk sediment,1.082257339,0.129028433,NA,NA,149.4638777,1474.18122,-2739.931314,3038.859069,Flett-77214,,Unused
UR15,UR15_sh_57_60,14,15,Pb210,bulk sediment,0.953015054,0.119506894,NA,NA,NA,,NA,NA,Flett-77218,,Unused
UR15,UR15_sh_11_12,2.5,3,Ra226,bulk sediment,1.310755023,0.0386417,NA,NA,NA,,NA,NA,Flett-77204,,Unused
UR15,UR15_sh_57_60,14,15,Ra226,bulk sediment,0.833862253,0.035227666,NA,NA,NA,,NA,NA,Flett-77218,,Unused
