FireName,FireYear,area
332557,1993,841004810
Rock Slough,1943,22583040
LITTLE OVERFLOW,1969,12004101
WOODCHOPPER W-10,1957,46140929
Cobb Lakes,1942,2750572
Gilahina,2011,5060383
40 Mile Yukon,1953,676643289
Sucker River,2004,335838
732061,1987,5649586
CIRCLE,1979,50231937
Rosa Creek,2008,141906
NINETY EIGHT,1969,197199736
Oklahoma 2,2009,154114658
100 Mile Creek,2014,93392659
BIG W 17,1983,134592366
DTA-Oklahoma Range Rx,2012,32560055
Tulsa Lake,2003,148559
232034,1992,910858
Hillbilly Lake,1996,66043526
Delta Creek,2010,210954
MOUNTAIN CREEK,1969,69502908
Orenzik,1946,3258110
Stevens Village NE 70,1953,23691746
CEM E 55,1991,151745283
22 Mile Tok Road,1947,75423133
Donnelley Training Area East RX,2009,3015207
Deadman Island,1996,139988824
CHRISTIAN VILLAGE SW15,1954,4979152
832093,1988,109083336
Refuge,2004,22341
GRANITE T,1990,13933009
Vrain Mountain,1996,609377
132306,1991,5428504
Stuart Creek 1,2013,1009505
ANACONDA CREEK,1967,5985985
YTA Fall RX pile burning,2010,1554911
MILITARY 1,1976,25598300
CEMWNW93,1993,10726288
WICKERSHAME DOME,1971,55299060
Red Fox,2010,7358
ROCKET 4,1957,698822255
Hastings,2011,92717918
East Buttons #3,2005,1150248
BTT ENE 71,1977,11386041
FYU W 97,1991,1034624
O`Keefe Hills,2005,345659
FYU NW 92,1988,83899528
LIV N 18,1991,194779363
Dall River,2000,3389973
Mud Fork II,2004,27864623
Cascaden Ridge,2010,60885447
Tolovana Flats,2000,14621228
Bull Creek,2003,255870
Beaver Creek,2004,596594
Engineer Hill,1999,1097739
Eielson,1987,36853536
Kanuti,2013,386794
Gold Creek,1997,3623376
Small Arms Range,1999,1641244
Chena Lakes Flood Plain RX,2010,1630381
331691,1993,371342
BEAVER CREEK,1956,29516790
VEE SW 24,1991,72976038
MCCORD CREEK,2011,30954605
Three Sleep,2010,42520492
STV SE 18,1979,9036212
SANDHILL,1969,5183949
Nuyakuk River,2013,9693663
Cutler River,2010,5123
Meshik River,2006,6491562
Ekiek Creek #2,2002,589538
Kugarak River,2010,2597372
Kerulu Creek,2003,163328351
GAL NW 142,1994,678953
WLK SE 40,1996,10367293
GAL NW 70,1990,945772
Tagagawik,2009,36416619
Gisasa River,2005,211072934
NULATO S-10,1956,601589249
The Real Thing,2003,1691851
Simels,1997,1396407043
PUFF,1972,28153636
Hammer Creek,2007,20365238
Hammer North,2005,1254308
Dishna,2008,1079114
DISCOVERY,1968,114448255
Innoko River,2006,828690
DONALD,1972,9586227
IDITAROD,1967,10421662
Iditarod,2006,2770780
Michigan III,1996,2615832
HOLOKUK #1,1957,4800062
Klut Creek,1997,3865173
Albert Lake,2005,215190
TIMBER,1993,56099298
BUCK MTN.,1997,20324076
DISCOVERY,1993,101592422
Russian Mtn,2008,170340
IAN NW 70,1983,3112451
Tight,1974,1354705
Uluksian,2007,3903740
HOTHAM,1972,17916969
Sisiak Creek,2004,1334031
Little Kazusuk River,1971,2448705
Hotham Peak,2010,1842748
HILL 1224,1957,623972581
Dactylic,1972,807167
KAIYUH,1965,5141862
Jungjuk Creek,2013,24696
MONTANA,1993,189096
Lake Tutusirok,2011,1479908
IAN NE 25,1982,649111
Okoklik Lake,2003,4416266
Little Cottonwood Creek,2007,75356
GMT 35,1984,90988
Tag River #4,2002,5259489
432250,1994,4828263
UNKE29,1993,11737824
KAL SW 33,1996,529390
ALAMEDA,1970,7952773
W Fork Buckland River,2010,232840
ANVIK RIVER,1957,1602702628
Atchuelinguk River,2004,1331531
Hawk River,1997,34010036
Stuyahok,2005,20751879
Columbia,1991,763322
Hawk River,2010,40458256
31006,1990,29330702
Ukit,1974,4141169
GAL SW 107,1990,44767
UNALAKLEET RIVER,1968,3743304
YELLOWHEAD,1972,8895370
GAL SW 108,1990,44730
132687,1991,30996403
Unknown001,1972,9144009
Kalskag,2002,16526224
IAN NW 30,1991,35769831
Mukachiak West,2004,4255
GMT NNW 12,1977,45342704
AKULIK RIVER,1972,33514886
Kiwalik River,1972,1204567
NANVARANAK LAKE,1997,1303214
DELOME RIVER,1971,258340417
Dry Gulch,1972,3633905
Milepost 85,2002,86539683
Big Sitdown Creek 2,2005,46615865
Snow Shoe Creek,2007,154682
RIDGEWAY,1967,36164765
Runt Fork,2004,96730585
Tindir Creek,2008,1706722
Tinder Creek,2007,2053822
Boundary Creek,2005,526110444
932011,1989,398908
Border,1986,5460550
Mt.Terrel,1999,46844930
Uvgoon Creek #2,2012,1159368
OTZ N 55,1988,57285338
Reindeer Creek,2010,1607652
32060,1990,1342380
KOYUK #1,1956,50772619
KUYUKUTUK,1984,25179156
EAST ANDY II,1997,1656642
Nageethluk River,2009,22899883
Takslesluk,2004,136760
Appel,1991,16014296
Graham Creek,1972,1314390
Porcupine Ridge,2008,465530
Colorado Creek,2002,327741851
Folger Creek,2008,2026268
Two Mile,2002,1115452
MCG S 60,1981,15634853
Tatlawiksuk,2004,508812
204005,1982,8265338
SWIFT,1993,117746293
HOHOLITNA,1972,4430308
HALFWAY,1972,6462058
GAGARYAH,1994,1846823
Stoney,1991,32806100
DUMMY CREEK,1997,458140
SPARREVOHN #3,1957,56504937
Kubugakli,1992,852018
Iliamna Lake,1943,24117172
Pah River Flats,2011,42725
Lockwood Hills 2,2012,270719
Koyukuk River,2010,491241
432225,1994,51750244
Dulbi River,2007,473020
GAL NE 38,1994,13794133
DUBLI #1,1956,10011210
GAL NE 35,1994,2925224
CAMP CREEK,1971,2670183
531044,1985,975361
MINNIE,1990,4272109
LITTLE SO.,1990,1128779
Hoholitna,2002,7644219
Billy Goat,2008,185109
Titnuk,2014,1274732
Titnuk Creek,1997,277218384
MULCHATNA,1954,377527739
CHICHITNOK,1994,920818
Fauna Creek West,2010,703
Naknek - south,1997,1066301
Noatak River 2,2010,263
Noatak River,2011,2842147
Imelyak River,2010,411025
Natural Out 1,2013,3771
Grass Lake,2004,5695620
Dahl Creek,1999,403115
Natlaratlen River,2000,34264002
Octopus Lake,2003,2453029
Camp Creek,2005,390639461
East Fork Yuki River,2005,317876549
331394,1993,53453
YUKI RIVER,1968,8486515
OPHIR N-12,1962,4556737
GALSW55,1993,868293
TAKOTNA,1957,73146615
Moore Creek,2013,633492554
NUNSATUK,1997,3586717
DISHNA,1990,18075093
332229,1993,46312643
Chick Mountain,2005,389982420
REDOUBT,1972,5581993
Candee,1972,2361869
Dishna,2005,107653413
TRAIL,1997,61546961
Michigan II,1996,2611231
Michigan I,1996,5248323
MURRAY,1993,1065411
KILIOVIL,1977,647670798
Imelyak,2010,295209
SHEKLUKSHUK,1997,3954040
Bismark Mountain,2004,835320
Bismark Mountain,2007,1671434
HSL N 48,1991,13544736
DCK SW 50,1994,68278996
HANK RIVER,1972,49065600
GAL  S 51,1986,47716267
GAL SE 57,1990,369976
ENGLAND,1971,103454968
Qguohaydok,2013,357739
CANOE MTN.,1990,66090272
NAPAIMIUT,2008,71926
GORKEY,1972,40507173
CHUKOWAN,1997,1921093
TIKCHIK,1997,20833141
Snake River,2012,66621928
Dollop,1974,3817132
Bobbie,1971,872697
Old Woman River,2005,9990853
Ridge Top,2013,9906400
Noatak River 5,2010,70073
KOBUK #6,1959,65746355
Nanielik Creek,2010,26081806
Gisasa River,2011,12657017
South Kotol MT.,1953,41766853
LITTLE MUD RIVER,1972,40963962
INNOKO FLAT,1969,143806552
Yetna River,2002,325219560
PEPYS,1968,20516857
Swinging Dome,1989,106811851
FOX HILLS,1972,14369668
431299,1994,13205444
BearPaw  Mt.,2000,147598055
Little Caribou,1997,216225
BTT N 49,1986,1477399
Kutchik River,2010,1714758
31058,1990,9313821
Wild,2007,8498431
Pitchuk Lake,1999,313311
John River,2008,6657358
Crooked Creek,2000,1076135
Fickett Creek,2011,1950817
Cosna River,2007,2714531
Jordan Creek,2007,33716297
Toklat,2005,6971085
JBER Davis Complex,2014,112634
Ft. Richardson Rx,2009,3159928
Irish Channel,2005,4336313
Prator Lake,1996,491446
Kuparuk,2007,6781038
BTT N 18,1984,1482546
832103,1988,57599662
FVM SW 8,1977,80457929
GURKY,1968,264494594
TAL NE 36,1984,9634709
31062,1990,129489375
Katalahosa,1999,621867
Banddana Creek,2010,107058
BTT SSW 55,1994,8915537
STRAIGHT CREEK,1972,15557146
BTT SW 61,1990,10163115
CROOKED CREEK,1969,846919
Slokenjikh,2000,462828
Tanana Village,1953,16163513
Tanana N8,1953,21629725
Boney Creek,2004,394675
Ten Mile Creek,2000,2942785
TAL N 17,1991,3605094
TAL S 27,1993,29602573
MOREN DOME,1968,92492447
TANANA E-17,1959,6800017
MHM E 32,1991,39295097
Zitziana,2000,659595321
Sled Roads,1996,18204971
Muddy River Fire,1951,71990044
Chilchukabena Lake,2013,2245296
MHM SE 27,1986,9877454
MHM SE 36,1986,5698362
Cohoe Loop,2006,261963
MansfieldAvenue,1999,616075
Crooked Creek,1996,55227278
Alatna Hills,2007,877584
Davis,1946,16108544
Titna River,2005,26399743
Lynx Creek,2002,31586659
TAL SW 53,1990,18213158
MHM N 46,1991,28145148
VON FRANK,1969,9767529
NONA,1968,134477279
OLD HARBOR,1994,613140
NIITLTOKTALOGI,1969,1844704390
WAY UP N #2,1985,7533461
Siruk Creek,1999,16648072
Hog River,2010,4455862
TEN TEN,1971,31580792
Little Indian River,2012,61281348
TAL NW 44,1985,6156982
Chitanatala Mountains,2005,143137716
TAL S 76,1990,27832136
Slippery River Fire,1952,10798843
131492,1991,58776884
AZTEC,1972,5083401
TONZONA,1972,10855823
Kanuti River,2010,55398
BTT W 47,1977,7411929
Hot Springs Creek 2,2007,19445910
Grant Creek,2000,77215954
31012,1990,19880218
GRAND CREEK,1968,56366711
Batza,1946,60969241
HSL E 20,1979,35622430
KOKHILA HILLS,1997,146554973
Big Creek,2007,13710348
414048,1984,3762890
Big Creek,2005,560614
Cranberry Ridge,2013,66114
Lone Mtn.,2005,54096386
Big River,2009,133584754
North Swift,2013,1548223
KATLITNA,1985,32545167
Kitalitna Creek,2005,7376023
HUGHES NW10,1954,11287697
NOWITNA,1966,206577607
Sams fire,1997,1867836
Smith`` Slough,2000,2711247
KOKWIM,1990,438976199
WELL,1972,112827726
REED RIVER,1997,19040895
Larsen Bay,1996,12615309
SMALL LAKE S-16,1958,123176295
Crazy,2002,6404045
Graveyard Creek      631360,1996,45578772
Birch Creek,2013,99979518
Jagged Ridge,2009,216170551
Puzzle Gulch,2009,8242781
LOST CREEK,1997,1935073
Birch,1999,80982317
Porcupine,2003,4795174
Healy River,2010,299082
SHAWNEE,1990,39482771
ARC N 15,1990,3751587
Tchulkade Lake,2010,62399604
Little Black One,2009,1401460085
CIRCLE 6 NE,1975,5563280
EUREKA CREEK,1972,4910964
CHP ENE 34,1986,179507689
Fourteen Mile Two,2009,287926
SAND CREEK,1957,3609213
Monkey Girl,1996,149795540
Mansfield Mount,1992,83663
Eagle Trail,2010,72088120
Dot Lake,2005,358154
Moon Lake,2013,97915920
Lackina River Fire,1948,56524786
12 Mile Slana River,1948,8494793
Koness River,2012,6730550
Sheenjek,2002,71885740
Lower Mouth,2004,350538439
832064,1988,1140893483
Yellow Creek,1996,35158568
Slender Smoke,1996,149569217
Munson Creek,1983,86976979
Munson Creek,1950,36059169
S.W. Butte,1950,70338430
FROZEN FOOT,1993,4402817
Stuart Creek 1,2007,1869758
Stuart Creek 2,2008,2098946
South Fork Chena,2010,3917070
Carla Lake,1998,218460336
Mississippi,2013,270605799
100 Mile Creek,1996,320019399
FYU NNW 87,1979,11496442
Marten Creek,2013,2809318
FYU N 37,1986,94966039
FISHHOOK,1969,1609574937
Bolgen Creek,2004,809827120
COPPER CANYON,1958,21682609
MID Texas Range Rx,2010,4354934
Birch Creek,1944,385532175
RAINBOW,1994,1201444
Canvasback Lake,2009,345747
Veh-Tenjerlow,2008,5165
Steele Creek,2014,191452
BROCK ROAD,2009,281767
Qual Range,2007,8238947
Ft. Greely 1,1979,438549591
FAI E 11,1991,3437895
Dry Creek,2012,189215845
Cache,2004,19510961
FAI S 27,1992,724150
732076,1987,154725550
FAI N 36,1995,745374
LIV E 19,1995,34461648
GLOBE CREEK NW-5,1958,20936535
ROSIE CREEK,1983,27480622
MILITARY #6,1990,30370919
SALCHA MILITARY,1966,191716610
Oklahoma Range Rx,2004,85499322
Oklahoma,1997,10231108
MILITARY #7,1990,62779785
331603,1993,2138810
FYU W 56,1994,11194664
ARC SW 48,1988,854626
CEMW62,1993,18220937
Big Creek,2009,680349671
FYU SW 64,1991,575681
VICTORIA CREEK,1957,37685195
MID MOOSE CREEK RX,2010,817985
Moose Creek Complex,2014,289434
WOOD RIVER BUTTES W-10,1957,51223298
Chatanika,2010,2588668
Francis Creek,2011,7478961
Rex Creek,2009,405934236
Big Rex,1991,6010410
Slate Cr,1987,8893482
June Creek,2009,661604
BEAR MOUNTAIN,1996,484184
Anderson,1942,9541951
Hodzana River,2004,654548531
Side Creek,2009,231229
Waldron Creek,2004,28164336
TOKLAT RV,1993,17513168
Minto,1983,107777373
DRY CREEK,1958,70814377
TATALINA RIVER,2011,13110195
East Buttons #1,2005,2428707
Wood River,2004,28061162
West Buttons #3,2005,36803
East Buttons #2,2005,542800
LAKE,1969,12962368
WBQ W 34,1977,261538596
FYU NW 97,1988,4763553
LONE MTN. W-15,1955,33043658
ROGERS CREEK,1955,4040093
Myrtle Creek,2004,25154242
Tatalina,2007,121432
Erickson Creek,2003,469935144
NENANA W-20,1958,11355327
431460,1994,1245090
FISH CREEK #1,1957,158216803
Isaoktuvik Creek,2011,1792
KIANA SE-10,1959,7485868
Unknown002,1972,2034553
MEANDER,1970,15185855
Kokopuk Creek,2010,17555
Tipooktulearuk River,2010,12568672
Goblet Creek,2002,15621849
Grayling Creek,2005,184425516
PAIMIUT,1997,13893090
Otter Creek,2005,12450978
Poktovik Creek,2004,1202697
Desperation,2011,371
GAL NW 98,1990,716865
Box River,2000,22195420
UNK E 28,1991,154907
832080,1988,3722616
UNKESE31,1993,6537771
HOLIKACHUK,1957,1730148316
ELLIE,1974,9818921
Doestock Creek,2013,116913626
ANI-SE 25,1981,231378561
ANTLER,1972,6864514
Moly,1991,23155659
Aklummayuak,2005,4505944
Noatak East Base,2010,236188
Noatak River,2010,416515
Eli River #3,2004,46231
Allman Lake,2014,2248356
31056,1990,13245671
NAGEETHLUK,1973,42108604
414057,1984,6190909
ANDREAFSKY,1974,10125199
32022,1990,925267
PUTT,1971,33820208
HUNKER,1971,11801979
Benny`s Bog,1972,2546906
532391,1995,11732819
POKTOVIK,1972,20382559
PACK SACK,1972,3010802
Noorvik Landfill Dump,2010,309731
Otter Creek,2008,193353
TOLSTOI,1955,11022655
GOLSOVIA,1973,13024264
Kuskokuak Slough,2012,172681
OTZ N 90,1977,2695706
Rok North,2010,53502405
Agashashok East,2004,874
WTK N 60,1984,17915343
OTZ N 70,1994,1495573
OTZ NW 70,1994,11197700
Ettrain Creek,2012,1186611
Bull Creek,2010,168091851
Jessica,1999,197926231
MONTAUK BLUFF,1969,63319415
EAA N 31,1994,843830
NATION RIVER,1957,18963593
132416,1991,1059939
Smith Creek,2005,68129611
BIG CREEK,1994,1165293
CANADIAN,1966,1344202431
Tetthajik,1999,37773721
FYU NE 96,1987,28974698
Tik Hill,1987,14394986
Lava Field,2010,62711
RAINBOW CAMP,1956,32813679
Kivalina River,2012,2143031
CAIRN 4,1971,87459354
ELLA,1971,112437029
IMURUK BASIN,1954,1665008293
SHH SE 38,1977,73267157
Salmon Trout,2007,1185547
BLACK RIVER NO. 1,1959,84339718
FT YUKON,1960,25607432
Deacon`s Rock,2008,1361560
531018,1985,220707058
Mardow Creek,2009,35113277
Bear Nose #1,2002,777287
Coal Creek #2,1950,96037937
Charley River S. #2,1950,72029043
Koness,2013,6144233
Ridge 3675,1989,1021446
Yunle Lakes,1996,89865038
132562,1991,581370123
Sheenjek River,2008,35144156
Chatritt Lake,2004,821264
Big Mountain,2007,10863445
