lake,coreDepthTop,coreDepthBot,ageTop,ageBot,charCount,volume,charConc,charAcc,charBkg,charPeak,thresh1,thresh2,thres3,treshPos,threshNeg,SNI,threshGOF,peaks1,peaks2,peaks3,peaksFinal,peaksInsig,peakMag,smPeak
UR15,7.8634,7.9278,305,310,6,2,3,0.03866,0.026745,0.011915,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,7.9278,7.9923,310,315,6,2,3,0.03866,0.02664,0.01202,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,7.9923,8.0588,315,320,6,2.88,2.12,0.02822,0.026611,0.0016089,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.0588,8.1257,320,325,6,3,2,0.026738,0.026656,0.000082146,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.1257,8.1925,325,330,6,3,2,0.026738,0.026776,-0.000038437,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.1925,8.259,330,335,5.58,3,1.86,0.024723,0.026974,-0.0022506,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.259,8.3231,335,340,3,3,1,0.012821,0.02725,-0.01443,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.3231,8.3872,340,345,3,3,1,0.012821,0.027603,-0.014782,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.3872,8.4513,345,350,3,3,1,0.012821,0.028024,-0.015204,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.4513,8.5149,350,355,2.52,3,0.84,0.010692,0.028503,-0.017811,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
UR15,8.5149,8.5771,355,360,1,3,0.33333,0.0041459,0.029025,-0.024879,0.023525,0.033119,0.044633,0.033119,-0.047197,4.7611,-999,0,0,0,0,0,0,0
